Code,Food Name,대분류,중분류,fc,vg,cs,si
B12117,얼큰칼국수,일반외식 및 배달음식,일반외식,FC07S01,VG05,CS01,"SI01, SI02"
B12118,연어롤,일반외식 및 배달음식,일반외식,FC08S02,VG05,CS13,"SI01, SI08, SI06"
B12119,연어샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG05,CS12,"SI01, SI11"
B12122,오징어순대,일반외식 및 배달음식,일반외식,FC21S02,VG05,CS01,SI01
B12124,우럭매운탕,일반외식 및 배달음식,일반외식,FC04S03,VG05,CS01,"SI01, SI02, SI04"
B12127,울면,일반외식 및 배달음식,일반외식,FC07S06,VG07,CS13,"SI01, SI02, SI05, SI08"
B12128,육회초밥,일반외식 및 배달음식,일반외식,FC08S02,VG07,CS03,"SI01, SI08"
B12129,은행구이,일반외식 및 배달음식,일반외식,FC03S04,VG01,CS01,SI01
B12130,잡채말이튀김,일반외식 및 배달음식,일반외식,FC22S04,VG07,CS01,"SI01, SI02, SI08"
B12131,장어롤,일반외식 및 배달음식,일반외식,FC08S02,VG05,CS13,"SI01, SI02, SI04, SI07, SI08, SI06"
B12132,쟁반국수,일반외식 및 배달음식,일반외식,FC07S01,VG01,CS13,"SI02, SI04, SI08"
B12133,전복버터구이,일반외식 및 배달음식,일반외식,FC03S02,VG05,CS13,SI01
B12134,제육볶음,일반외식 및 배달음식,일반외식,FC09S04,VG07,CS01,SI04
B12135,조기구이,일반외식 및 배달음식,일반외식,FC03S02,VG05,CS01,SI01
B12136,주꾸미삽겹살볶음,일반외식 및 배달음식,일반외식,FC09S03,VG07,CS01,"SI01, SI04, SI08"
B12138,차돌된장찌개,일반외식 및 배달음식,일반외식,FC20S02,VG07,CS01,SI03
B12140,참소라초밥,일반외식 및 배달음식,일반외식,FC08S02,VG05,CS03,"SI01, SI08"
B12142,치즈곱창,일반외식 및 배달음식,일반외식,FC09S04,VG07,CS13,"SI01, SI02"
B12143,치즈달걀말이,일반외식 및 배달음식,일반외식,FC16S02,VG04,CS13,SI01
B12144,치즈닭갈비,일반외식 및 배달음식,일반외식,FC09S04,VG06,CS13,SI02
B12148,칠리새우,일반외식 및 배달음식,일반외식,FC22S02,VG06,CS02,"SI02, SI08"
B12150,칼국수,일반외식 및 배달음식,일반외식,FC07S01,VG05,CS01,"SI01, SI02"
B12151,캘리포니아롤,일반외식 및 배달음식,일반외식,FC08S02,VG03,CS13,"SI01, SI08, SI06"
B12152,케이준샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG06,CS12,"SI01, SI10, SI11, SI06"
B12153,케이준양념감자,일반외식 및 배달음식,일반외식,FC22S01,VG06,CS12,SI01
B12154,코다리냉면,일반외식 및 배달음식,일반외식,FC07S02,VG05,CS01,"SI01, SI04, SI07, SI08"
B12155,코울슬로,일반외식 및 배달음식,일반외식,FC11S03,VG03,CS12,"SI08, SI06"
B12156,콘샐러드,일반외식 및 배달음식,일반외식,FC11S03,VG03,CS12,"SI08, SI06"
B12159,크림우동,일반외식 및 배달음식,일반외식,FC07S02,VG02,CS13,SI01
B12160,크림함박스테이크,일반외식 및 배달음식,일반외식,FC03S03,VG07,CS12,"SI01, SI02, SI08, SI09, SI06"
B12163,피자돈까스,일반외식 및 배달음식,일반외식,FC22S03,VG07,CS13,"SI01, SI06"
B12164,함박스테이크,일반외식 및 배달음식,일반외식,FC03S03,VG07,CS12,"SI01, SI02, SI08, SI09, SI06"
B12165,해물뚝배기,일반외식 및 배달음식,일반외식,FC20S01,VG05,CS01,"SI01, SI03"
B12166,해물라면,일반외식 및 배달음식,일반외식,FC07S03,VG05,CS13,SI01
B12167,해물순두부찌개,일반외식 및 배달음식,일반외식,FC20S01,VG05,CS01,SI01
B12168,황도,일반외식 및 배달음식,일반외식,FC18S01,VG01,CS01,SI08
D07001,깔라만시에이드,음료 및 차류,과일 및 과채음료,FC14S08,VG01,CS13,"SI10, SI11"
D07002,딸기바나나주스,음료 및 차류,과일 및 과채음료,FC14S01,VG01,CS12,SI10
D07003,딸기빙수,음료 및 차류,과일 및 과채음료,FC13S01,VG04,CS13,SI10
D07004,딸기스무디,음료 및 차류,과일 및 과채음료,FC14S03,VG02,CS12,SI10
D07005,딸기에이드,음료 및 차류,과일 및 과채음료,FC14S08,VG01,CS12,SI10
D07006,딸기주스,음료 및 차류,과일 및 과채음료,FC14S01,VG01,CS12,SI10
D07007,레몬아이스티,음료 및 차류,과일 및 과채음료,FC14S01,VG01,CS12,"SI10, SI11"
D07008,레몬에이드,음료 및 차류,과일 및 과채음료,FC14S08,VG01,CS12,"SI10, SI11"
D07009,레몬차,음료 및 차류,과일 및 과채음료,FC14S06,VG01,CS12,SI08
D07010,망고스무디,음료 및 차류,과일 및 과채음료,FC14S03,VG02,CS12,SI10
D07011,망고에이드,음료 및 차류,과일 및 과채음료,FC14S08,VG01,CS12,SI10
D07012,망고주스,음료 및 차류,과일 및 과채음료,FC14S01,VG01,CS12,SI10
D07016,복숭아아이스티,음료 및 차류,과일 및 과채음료,FC14S01,VG01,CS12,SI10
D07018,블루베리스무디,음료 및 차류,과일 및 과채음료,FC14S03,VG02,CS12,SI10
D07019,사과주스,음료 및 차류,과일 및 과채음료,FC14S01,VG01,CS12,SI10
D07020,수박주스,음료 및 차류,과일 및 과채음료,FC14S01,VG01,CS12,SI10
